Season,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,WAR
2001,Barry Bonds,Giants,153,664,73,129,137,13,26.70%,14.00%,12.5
1998,Mark McGwire,Cardinals,155,681,70,130,147,1,23.80%,22.80%,8.5
1998,Sammy Sosa,Cubs,159,722,66,134,158,18,10.10%,23.70%,7.1
1999,Mark McGwire,Cardinals,153,661,65,118,147,0,20.10%,21.30%,6
2001,Sammy Sosa,Cubs,160,711,64,146,160,0,16.30%,21.50%,9.9
1999,Sammy Sosa,Cubs,162,712,63,114,141,7,11.00%,24.00%,5.3
2006,Ryan Howard,Phillies,159,704,58,104,149,0,15.30%,25.70%,5.9
1997,Mark McGwire,- - -,156,657,58,86,123,3,15.40%,24.20%,5.4
2002,Alex Rodriguez,Rangers,162,725,57,125,142,9,12.00%,16.80%,10
2001,Luis Gonzalez,Diamondbacks,162,728,57,128,142,1,13.70%,11.40%,8.9
1997,Ken Griffey Jr.,Mariners,157,704,56,125,147,15,10.80%,17.20%,9
1998,Ken Griffey Jr.,Mariners,161,720,56,120,146,20,10.60%,16.80%,6.6
2007,Alex Rodriguez,Yankees,158,708,54,143,156,24,13.40%,16.90%,9.6
2010,Jose Bautista,Blue Jays,161,683,54,109,124,9,14.60%,17.00%,6.4
2006,David Ortiz,Red Sox,151,686,54,115,137,1,17.30%,17.10%,5.3
2013,Chris Davis,Orioles,160,673,53,103,138,4,10.70%,29.60%,7
2001,Alex Rodriguez,Rangers,162,732,52,133,135,18,10.20%,17.90%,7.8
1996,Mark McGwire,Athletics,130,548,52,104,113,0,21.20%,20.40%,7.3
2002,Jim Thome,Indians,147,613,52,101,118,1,19.90%,22.70%,7.3
2005,Andruw Jones,Braves,160,672,51,95,128,5,9.50%,16.70%,7.9
1990,Cecil Fielder,Tigers,159,673,51,104,132,0,13.40%,27.00%,6.5
1995,Albert Belle,Indians,143,631,50,121,126,5,11.60%,12.70%,7.2
1996,Brady Anderson,Orioles,149,687,50,117,110,21,11.10%,15.40%,6.9
2000,Sammy Sosa,Cubs,156,705,50,106,138,7,12.90%,23.80%,5.8
1998,Greg Vaughn,Padres,158,661,50,112,119,11,12.00%,18.30%,5.8
2007,Prince Fielder,Brewers,158,681,50,109,119,2,13.20%,17.80%,4.7
1996,Ken Griffey Jr.,Mariners,140,638,49,125,140,16,12.20%,16.30%,9.7
1997,Larry Walker,Rockies,153,664,49,143,130,33,11.70%,13.60%,9.1
2006,Albert Pujols,Cardinals,143,634,49,119,137,7,14.50%,7.90%,8.1
2000,Barry Bonds,Giants,143,607,49,129,106,11,19.30%,12.70%,7.6
1998,Albert Belle,White Sox,163,706,49,113,152,6,11.50%,11.90%,7.1
2001,Todd Helton,Rockies,159,697,49,132,146,7,14.10%,14.90%,7.1
2001,Shawn Green,Dodgers,161,701,49,121,125,20,10.30%,15.30%,6.7
2001,Jim Thome,Indians,,644,49,101,124,0,17.20%,28.70%,5.4
1987,Mark McGwire,Athletics,151,641,49,97,118,1,11.10%,20.40%,5.1
2002,Sammy Sosa,Cubs,150,666,49,122,108,2,15.50%,21.60%,5.1
1987,Andre Dawson,Cubs,153,662,49,90,137,11,4.80%,15.60%,3.5
2004,Adrian Beltre,Dodgers,156,657,48,104,121,7,8.10%,13.20%,9.7
2005,Alex Rodriguez,Yankees,162,715,48,124,130,21,12.70%,19.40%,9.1
1996,Albert Belle,Indians,158,715,48,124,148,11,13.80%,12.20%,5.2
1999,Ken Griffey Jr.,Mariners,,706,48,123,134,24,12.90%,15.30%,4.9
2008,Ryan Howard,Phillies,162,700,48,105,146,1,11.60%,28.40%,2.9
2003,Alex Rodriguez,Rangers,161,715,47,124,118,17,12.20%,17.60%,9.2
2009,Albert Pujols,Cardinals,160,700,47,124,135,16,16.40%,9.10%,8.4
2000,Troy Glaus,Angels,159,678,47,120,102,14,16.50%,24.00%,8.2
1989,Kevin Mitchell,Giants,154,640,47,100,125,3,13.60%,18.00%,6.9
2000,Jeff Bagwell,Astros,159,719,47,152,132,9,14.90%,16.10%,5.9
2015,Chris Davis,Orioles,160,670,47,100,117,2,12.50%,31.00%,5.6
1999,Rafael Palmeiro,Rangers,158,674,47,96,148,2,14.40%,10.20%,5.4
1987,George Bell,Blue Jays,156,667,47,111,134,5,5.80%,11.20%,5.3
